,date,volume,pages,title,journal,author,publisher,note,address,booktitle,editor,booktile,tech,institution,Pages,year,type,month
1538,, volume 2. ,, Shift of bias for inductive concept learning.,," Utgoff, P. "," Morgan Kaufmann, ",," Los Altos, CA. "," In Machine Learning,",,,,,, (1986). ,,
1539,, volume 2. ,, Shift of bias for inductive concept learning. ,," Utgoff, P. "," Morgan Kaufmann, ",," Los Altos, CA. ","In Machine Learning,",,,,,, (1986). ,,
1540,, volume 2. ,, Shift of bias for inductive concept learning.,," Utgoff, P. "," Morgan Kaufmann, ",," Los Altos, CA. "," In Machine Learning,",,,,,, (1986). ,,
1541,, volume 2. ,, Shift of bias for inductive concept learning.,," Utgoff, P. "," Morgan Kaufmann, ",," Los Altos, CA. "," In Machine Learning,",,,,,, (1986). ,,
1542,,volume 2. ,, Shift of bias for inductive concept learning.,," Utgoff, P. ", Morgan Kauf-mann. ,," Los Altos, CA: "," Machine Learning: An Artificial Intelligence Approach, ",,,,,, (1986). ,,
1547,," Vol. 2, chap. 5, ", pp. 107-148. , Shift of bias for inductive concept learning. ," Machine Learning, "," Utgoff, P. E. ", Morgan Kaufmann. ,," San Mateo, CA: ",," In Michalski, Carbonell, & Mitchell (Eds.), ",,,,, (1986). ,,
1548,," Vol.2, chap. 5, ", pp. 107-148. , Shift of bias for inductive concept learning. ," Machine Learning, "," Utgoff, P. E. ", Morgan Kaufmann. ,," San Mateo, CA: ",," In Michalski, Carbonell, & Mitchell (Eds.), ",,,,, (1986). ,,
1549,," Vol. II, ", pp. 107-148. , Shift of bias for inductive concept learning. ,," Utgoff, P. E. "," Morgan Kaufmann, ",," Los Altos, CA. "," Machine Learning: An Artificial Intelligence Approach,"," In Michalski, R., Carbonell, J., & Mitchell, T. (Eds.), ",,,,, (1986). ,,
1550,," Vol. II, ", pp. 107-148. , Shift of bias for inductive concept learning. ,," Utgoff, P. E. "," Morgan Kaufmann, ",," Los Altos, CA. "," Machine Learning: An Artificial Intelligence Approach,"," In Michalski, R., Carbonell, J., & Mitchell, T. (Eds.), ",,,,, (1986). ,,
1551,," Vol. II, ", pp. 107-148. , Shift of bias for inductive concept learning. ,," Utgoff, P. E. "," Morgan Kaufmann, ",," Los Altos, CA. "," Machine Learning: An Artificial Intelligence Approach,"," In Michalski, R., Carbonell, J., & Mitchell, T. (Eds.), ",,,,, (1986). ,,
1553,,"Volume II,",, Shift of Bias for Inductive Concept Learning. ,," Utgoff, P. E., ",,,, In Machine Learning:  An Artificial Intelligence Approach: , eds R. ,,,,, 1986. ,,
1554,," Volume II,",, Shift of Bias for Inductive Concept Learning. ,," Utgoff, P. E., ",,,, In Machine Learning: An Artificial Intelligence Approach: , eds R. ,,,,, 1986. ,,
1555,," Vol. II, ",," Shift of Bias for Inductive Concept Learning, ",," Utgoff, P., "," Morgan Kaufmann Publishers, ",,, in Machine Learning:  An Artificial Intelligence Approach," Michalski, R.S., Carbonell, J.G., and Mitchell, T. M. (Eds.), ",,,,,,,
1557,,"Vol. II, ",," Shift of Bias for Inductive Learning, ",," Utgoff, P.E., "," Morgan Kaufmann, ",," Los Altos, CA, "," Machine Learning: An Artificial Intelligence Approach, "," J.G. Carbonell and T.M. Mitchell (Eds.) R.S. Michalski (Eds.), ",,,,, 1986. ,,
1559,,Volume II. ,, Shift of bias for inductive concept learning. ,, P.E. Utgoff. ," Morgan Kaufmann, ",,," Machine Learning: An Artificial Intelligence Approach, "," In R.S. Michalski, J.G. Carbonell, and T.M. Mitchell, editors, ",,,,, 1986. ,,
1560,, Volume II. ,, Shift of bias for inductive concept learning. ,, P.E. Utgoff. ," Morgan Kaufmann, ",,," Machine Learning: An Artificial Intelligence Approach,"," In R.S. Michalski, J.G. Carbonell, and T.M. Mitchell, editors, ",,,,, 1986. ,,
1561,,Volume II. ,, Shift of bias for inductive concept learning. ,, P.E. Utgoff. ," Morgan Kaufmann, ",,," Machine Learning: An Artificial Intelligence Approach, ","  In R.S. Michalski, J.G. Carbonell, and T.M. Mitchell, editors, ",,,,, 1986. ,,
1562,,Vol II. , 107-148. , Shift of bias of induc tive concept learning. ,," Utgoff, P. E. ", Morgan Kaufmann Publishers. ,,," Machine Learning: An Artificial Intelligence Approach, "," In Michalski, R.S.; Carbonell, J.G.; and T.M., Mitchell, ",,,,, 1986. ,,
1563,,Vol II. , 107-148. , Shift of bias of inductive concept learning. ,," Utgoff, P. E. ", Morgan Kaufmann Publishers. ,,," Machine Learning: An Artificial Intelligence Approach, "," In Michalski, R.S.; Carbonell, J.G.; and T.M.,  Mitchell, ",,,,, 1986. ,,
1564,, Vol II. , 107-148. , Shift of bias of inductive concept learning. ,," Utgoff, P. E. ", Morgan Kaufmann Publishers. ,,," Machine Learning: An Artificial Intelligence Approach,"," In Michalski, R.S.; Carbonell, J.G.; and T.M., Mitchell, ",,,,, 1986. ,,
1565,, Vol II. , 107-148. , Shift of bias of inductive concept learning. ,," Utgoff, P. E. ", Morgan Kaufmann Publishers. ,,," Machine Learning: An Artificial Intelligence Approach,"," In Michalski, R.S.; Carbonell, J.G.; and T.M., Mitchell, ",,,,, 1986. ,,
1566,, Vol II. , 107-148. , Shift of bias of inductive concept learning. ,," Utgoff, P. E. ", Morgan Kaufmann Publishers. ,,," Machine Learning: An Artificial Intelligence Approach,"," In Michalski, R.S.; Carbonell, J.G.; and T.M., Mitchell, ",,,,, 1986. ,,
1567,, II. ,, Shift of bias for Inductive Concept Learning.,, P. E. Utgoff. ," Morgan Kaufman, ",,, In Machine learning,,,,,, 1986. ,,
1570,, volume III. ,, Shift of bias for inductive concept learning. ,, P. Utgoff. ," Morgan Kaufmann, ",," San Mateo, CA, USA, ","In Machine Learning:  An Artificial Intelligence Approach,",,,,,, 1986. ,,
1571,,Vol II ,(pp. 107-148 , Shift of bias for inductive concept learning. ,," Utgoff, P. ", Morgan Kaufmann. ,, Los Altos: , Machine Learning: An Artificial Intelligence Approach: ," In R. Michal ski, J. Carbonell and T. Mitchell (Eds.), ",,,,, (1986). ,,
1572,, 10 ," pages 107-148, ", Shift of bias for inductive concept learning. ,, P. E. Utgoff. , Morgan Kaufmann. ,," Los Altos, CA, "," Machine Learning: An Artificial Intelligence Approach, "," In R. S. Michalski, J. G. Carbonell, and T. M. Mitchell, editors, ",,,,,1986. ,,
1573,,volume 2. ,, Shift of bias for inductive concept learning. ,, P. Utgoff. ," Morgan Kaufmann, ",," Los Altos, CA, ","In Machine Learning,",,,,,, 1986. ,,
1574,," volume 2, ", pages 163-190. , Shift of bias for inductive concept learning. ," Machine Learning, ", P. Utgoff. ," Morgan Kauf-mann, ",," Los Altos, CA, ",," In R. Michalski, J. Carbonell, and T. Mitchell, editors, ",,,,, 1986. ,,
1575,," volume 2, ", pages 163-190. , Shift of bias for inductive concept learning. ," Machine Learning, ", P. Utgoff. ," Morgan Kaufmann, ",," Los Altos, CA, ",," In R. Michalski, J. Carbonell, and T. Mitchell, editors, ",,,,, 1986. ,,
1576,," volume 2, ", pages 163-190. , Shift of bias for inductive concept learning. ," Machine Learning, ", P. Utgoff. ," Morgan Kaufmann, ",," Los Altos, CA, ",," In R. Michalski, J. Carbonell, and T. Mitchell, editors, ",,,,, 1986. ,,
1577,," volume 2, ", pages 163-190. , Shift of bias for inductive concept learning. ," Machine Learning, ", P. Utgoff. ," Morgan Kaufmann, ",," Los Altos, CA, ",," In R. Michalski, J. Carbonell, and T. Mitchell, editors, ",,,,, 1986. ,,
1578,, Vol II, (pp.  107-148 , Shift of bias for inductive concept learning. ,," Utgoff, P. ", Morgan Kaufmann. ,, Los Altos: , Machine Learning: An Artificial Intelligence Approach:," In R. Michal-ski, J. Carbonell and T. Mitchell (Eds.), ",,,,, (1986). ,,
1579,, (Volume 2). ,, Shift of bias for inductive concept learning. ,, P E Utgoff. ," Morgan Kaufmann, ",,, Machine Learning: An Artificial Intelligence Approach," In R S Michalski, J G Carbonell, and T M Mitchell, editors, ",,,,, 1986. ,,
1580,,"Volume II, ", pages 107-148. , Shift of bias for inductive concept learning. ,," Utgoff, Paul E. "," Morgan Kauf-mann, ",," Los Altos, CA, ", Machine Learning. An Artificial Intelligence Approach. ," In Michalski, Ryszard S., Car-bonell, Jaime G., and Mitchell, Tom M., editors, ",,,,,,,
1581,," Volume II, ", pages 107-148. , Shift of bias for inductive concept learning. ,," Utgoff, Paul E. "," Morgan Kaufmann, ",," Los Altos, CA, ", Machine Learning. An Artificial Intelligence Approach.," In Michalski, Ryszard S., Carbonell, Jaime G., and Mitchell, Tom M., editors, ",,,,, 1986. ,,
1582,,"Volume II, ", pages 107-148. , Shift of bias for inductive concept learning. ,," Utgoff, Paul E. "," Morgan Kaufmann, ",," Los Altos, CA, ", Machine Learning. An Artificial Intelligence Approach. ," In Michalski, Ryszard S., Carbonell, Jaime G., and Mitchell, Tom M., editors, ",,,,, 1986. ,,
1585,," Volume II, ", pp. 107-148. , Shift of Bias for Inductive Concept Learning. ,," Utgoff, P. E. "," Morgan Kaufmann, ",," Los Altos, CA, "," Machine Learning: An Artificial Intelligence Approach,"," In R. S. Michalski, J. G. Carbonell and T. M. Mitchell, Ed., ",,,,," 1986, ",,
1596,, 27 ,  (pp. 107 - 120)., ID5R: An incremental ID3. ,," Utgoff, P. ", Morgan Kaufmann. ,," Ann Arbor, Michigan: ", Proceedings of the Fifth International Conference on Machine Learning,,,,,, (1988). ,,
1597,, 28 , (pp. 107 - 120)., ID5R: An incremental ID3. ,," Utgoff, P. ", Morgan Kaufmann. ,,"Ann Arbor, Michigan: ", Proceedings of the Fifth International Conference on Machine Learning ,,,,,, (1988). ,,
1624,," 1(4), ",, Perceptron trees: A case study in hybrid concept representations. ," Connection Science, ", Paul. E. Utgoff. ,,,,,,,,,, 1990. ,,
1628,, (4),":161-186, ", Incremental induction of decision trees. ," Machine Learning, ", P.E. Utgoff. ,, This article was processed using the L a T E X macro package with LLNCS style,,,,,,,,1989.,,
1629,, 4,":161 - 186, ", Incremental induction of decision trees. ," Machine Learning, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1630,," Vol.4, ", 161-186. ,. Incremental induction of decision trees. , Machine Learning. , P. Utgoff ,,,,,,,,,, (1989),,
1631,, 4 , 161-186. ," Incremental Induction of Decision Trees, "," Machine Learning, ", Utgoff P. E. ,,,,,,,,,, (1989).,,
1632,, 4(2) , 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. ",,,,,,,,,, (1989). ,,
1633,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. ",,,,,,,,,, (1989). ,,
1634,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. ",,,,,,,,,, (1989). ,,
1635,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. ",,,,,,,,,, (1989). ,,
1636,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. ",,,,,,,,,, (1989). ,,
1637,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. ",,,,,,,,,, (1989). ,,
1638,," 4 , ",161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1639,," 4 ,", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1640,," 4 ,", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1641,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1642,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1643,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1644,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1645,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1646,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1647,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1648,," 4,", 161-186. , Incremental induction of decision trees.," Machine Learning,"," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1649,," 4,", 161-186. , Incremental induction of decision trees.," Machine Learning,"," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1650,," 1, ", 377-391. , Perceptron trees: A case study in hybrid concept representa tions. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1651,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989a). ,,
1652,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989a). ,,
1653,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989b). ,,
1654,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. E. ",,,,,,,,,, (1989b). ,,
1655,, 4 , 161-186. , Incremental induction of decision trees. ,," Utgoff, P. E. ",,,, Machine Learning,,,,,, 1989. ,,
1656,, 4 , 161-186. , Incremental induction of decision trees. ,," Utgoff, P. E. ",,,, Machine Learning,,,,,, 1989. ,,
1657,,4(2) , 161-186. , Incremental induction of decision trees. ,," Utgoff, P. E. ",,,, Machine Learning ,,,,,, 1989. ,,
1659,,"4(2), ", pp. 161-186. , (1989) Incremental induction of decision trees. ,," Utgoff, P.E. ",,,, Machine Learning ,,,,,,,,
1660,, 4: , 161-186. , Incremental induction of decision trees. , Machine Learning," Utgoff, P.E. ",,,,,,,,,, (1989),,
1662,,4(2) , 161-186. , Incremental induction of decision trees. , Machine Learning ," Utgoff, P.E. ",,,,,,,,,, 1989. ,,
1663,, 1 ," 377-391, ", Perceptron trees: A case study in hybrid concept representations. ," Connection Science, ", P. E. Utgoff. ,,,,,,,,,, 1989. ,,
1664,, 1 ," 377-391, ", Perceptron trees: A case study in hybrid concept representations. ," Connection Science, ", P. E. Utgoff. ,,,,,,,,,, 1989. ,,
1665,, 4(2) ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", P. Utgoff. ,,,,,,,,,, 1989. ,,
1666,, 4(2) ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", P. Utgoff. ,,,,,,,,,, 1989. ,,
1668,, 4(2) ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", P.E. Utgoff. ,,,,,,,,,, 1989. ,,
1669,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. ",,,,,,,,,, 1989. ,,
1670,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. ",,,,,,,,,, 1989. ,,
1671,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, "," Utgoff, P. ",,,,,,,,,, 1989. ,,
1672,," 4, ",, Incremental induction of decision trees. ," Machine Learning, ", P. E. Utgoff. ,,,,,,,,,, 1989. ,,
1674,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1675,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1676,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1677,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1678,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1679,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1680,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1681,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1682,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1683,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1684,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", P. E. Utgoff. ,,,,,,,,,, 1989. ,,
1685,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", P. E. Utgoff. ,,,,,,,,,, 1989. ,,
1686,, 4 ," 161-186, ", Incremental induction of decision trees. ," Machine Learning, ", P.E. Utgoff. ,,,,,,,,,, 1989. ,,
1687,,4 ," 161-186, "," Incremental Learning of Decision trees., ", Machine Learning , Utgoff P.E.: ,,,,,,,,,, 1989 ,,
1688,," 4, ", 161-186. , Incremental induction of decision trees. ," Machine Learning, "," P.E. Utgoff, ",,,,,,,,,,,,
1699,," 1, ", 377-391. , Perceptron trees: A case study in hybrid concept representa-tions. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1700,," 1 (4), ", 377-391. , Perceptron trees: A case study in hybrid concept representations. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1701,," 1 (4), ", 377-391. , Perceptron trees: A case study in hybrid concept representations. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1702,," 1 (4), ", 377-391. , Perceptron trees: A case study in hybrid concept representations. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1703,," 1 (4), ", 377-391. , Perceptron trees: A case study in hybrid concept representations. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1704,," 1 (4), ", 377-391. , Perceptron trees: A case study in hybrid concept representations. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1705,," 1 (4), ", 377-391. , Perceptron trees: A case study in hybrid concept representations. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1706,," 1 (4), ", 377-391. , Perceptron trees: A case study in hybrid concept representations. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1707,," 1, ", 377-391. , Perceptron trees: A case study in hybrid concept representations. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1708,," 1, ", 377-391. , Perceptron trees: A case study in hybrid concept representations. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1709,," 1, ", 377-391. , Perceptron trees: A case study in hybrid concept representations. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989). ,,
1710,," 1, ", 377-391. , Perceptron trees: A case study in hybrid concept representations. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989b). ,,
1711,," 1, ", 377-391. , Perceptron trees: A case study in hybrid concept representations. ," Connection Science, "," Utgoff, P. E. ",,,,,,,,,, (1989b). ,,
1712,," 1, ", pp. 337-391. ," Perceptron Trees: A case study in hybrid concept representations, "," Connection Science, "," Utgoff, P.E. ",,,,,,,,,," (1989), ",,
1713,," 1, ", pp. 337-391. ," Perceptron Trees: A case study in hybrid concept representations, "," Connection Science, "," Utgoff, P.E. ",,,,,,,,,," (1989), ",,
1714,, Volume 1. ,, Perceptron Trees: A case study in Hybrid Concept Representations. ," Connection Science, "," Utgoff, P., E., ",,,,,,,,,, (1989),,
1715,, Volume 1. ,, Perceptron Trees: A case study in Hybrid Concept Representations. ," Connection Science, "," Utgoff, P., E., ",,,,,,,,,, (1989),,
1716,, 1(4) ," 377-391, ", Perceptron trees: A case study in hybrid concept representations. ," Connection Science, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1717,, 1(4) ," 377-391, ", Perceptron trees: A case study in hybrid concept representations. ," Connection Science, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1718,, 1(4) ," 377-391, ", Perceptron trees: A case study in hybrid concept representations. ," Connection Science, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1719,, 1(4) ," 377-391, ", Perceptron trees: A case study in hybrid concept representations. ," Connection Science, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1720,, 1(4) ," 377-391, ", Perceptron trees: A case study in hybrid concept representations. ," Connection Science, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1721,, 1(4) ," 377-391, ", Perceptron trees: A case study in hybrid concept representations. ," Connection Science, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1722,, 1(4) ," 377-391, ", Perceptron trees: A case study in hybrid concept representations. ," Connection Science, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1723,, 1(4) ," 377-391, ", Perceptron trees: A case study in hybrid concept representations. ," Connection Science, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1724,, 1(4) ," 377-391, ", Perceptron trees: A case study in hybrid concept representations. ," Connection Science, ", Paul E. Utgoff. ,,,,,,,,,, 1989. ,,
1725,, 1(4) ," 377-391, ", Perceptron trees: A case study in hybrid concept representations. ," Connection Science, ", P. E. Utgoff. ,,,,,,,,,, 1989. ,,
1729,, 6 , pages 58-65., An incre-mental method for finding multivariate splits for decision trees. ,," Utgoff, P. E. and Brodley, C. E. ",,,," Proceedings of the Ninth National Conference on Artificial Intelligence, ",,,,,, (1990). ,,
1745,, 14 , (pp. 58-65). , An incremental method for finding multivariate splits for decision trees. ,," Utgoff, P. E., & Brodley, C. E. ", Morgan Kaufmann. ,," Austin, TX: ", Proceedings of the Seventh International Conference on Machine Learning ,,,,,, (1990). ,,
1746,, 14 , (pp. 58-65). , An incremental method for finding multivariate splits for decision trees. ,," Utgoff, P. E., & Brodley, C. E. ", Morgan Kaufmann. ,," Austin, TX: ", Proceedings of the Seventh International Conference on Machine Learning ,,,,,, (1990). ,,
1753,, 16 ," pages 58-65, ", An incremental method for finding multivariate splits for decision trees. ,, P. E. Utgoff and C. E. Brodley. , Morgan Kaufmann. ,," Los Altos, CA,"," In Proceedings of the Seventh International Conference on Machine Learning, ",,,,,, 1990. ,,
1771,, 15 ,  (pp. 596-600). , Two kinds of training information for evaluation function learning. ,," Utgoff, P. E., & Clouse, J. A. ", MIT Press. ,," Anaheim, CA: ", Proceedings of the Ninth National Conference on Artificial Intelligence,,,,,, (1991). ,,
1853,," (Vol. II), ", 107-148. , Shift of bias of inductive concept learning. In R.S. ,," P.E. Utgoff, "," Morgan Kaufmann, ",," San Mateo, CA: ", Machine Learning: An Artificial Intelligence Approach," Michalski, J.G. Carbonell, and T.M. Mitchell (eds.), ",,,,,,,
1856,, 29(1),, Decision tree induction based on efficient tree restructuring. , Machine Learning," Utgoff, P. E.; Berkman, N. C.; and Clouse, J. A. ",,,,,,,,,, 1997. ,,
1857,," 29:5, ",," Decision tree induction based on efficient tree restructuring. Machine Learning, ",," Paul E. Utgoff, Neil C. Berkman, and Jeffery A. Clouse. ",,,,,,,,,, 1997. ,,
1858,," 29:5, ",," Decision tree induction based on efficient tree restructuring. Machine Learning, ",," Paul E. Utgoff, Neil C. Berkman, and Jeffery A. Clouse. ",,,,,,,,,, 1997. ,,
1874,, 18 ,, Explaining temporal-differences to create useful concepts for evaluating states. ,," Richard C. Yee, Sharad Saxena, Paul E. Utgoff, and Andrew C. Barto. ",,,," In Proceedings of AAAI-90, ",,,,,, 1990. ,,
27,,, pp. 42-50. , An investigation of niche and species formation in genetic function op-timization. ,,, Morgan Kaufmann. ,,," Proceedings of the Third International Conference on Genetic Algorithms, "," Deb, K. and D. Goldberg (1989). ",,,,,,,
28,,, pp. 42-50. , An investigation of niche and species formation in genetic function optimization. ,,, Morgan Kaufmann. ,,," Proceedings of the Third International Conference on Genetic Algorithms, "," Deb, K. and D. Goldberg",,,,,,,
102,,," 257-263, "," Cancellation in a Parallel Semantic Network, ",," Fahlman S, Touretzky D and van Roggen W, ",, International Joint Conferences on AI. , Menlo Park: ," In Proc IJCAI-81, ",,,,,,,,
119,,," pages 38-51, ", Fast-learning variations on back-propagation: An empirical study. ,, S.E. Fahlman. , Morgan Kaufmann. ,," San Mateo, 1989. "," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touret-zky, G. Hinton, and T. Sejnowski, editors, ",,,,,,,
126,,, pp. 38-51. , (1988) Faster-Learning Variations on Back-Propagation: An Empiri cal Study. ,," Fahlman, S. E. "," Morgan Kaufmann, ",," San Mateo, CA, "," Proceedings of 1988 Connectionist Models Summer School, "," Touretzky, D., Hinton, G and Sejnowski T. (Eds.)",,,,,,,
135,,," 38-51, "," ""Faster-Learning Variations on Back-Propagation: An Empirical Study"", ",," Scott E. Fahlman, ", Morgan Kaufmann. ,,," in Proceedings of the 1988 Connectionist Models Summer School, Pitts-burg (1988), ",,,,,,,,
141,,," pages 38-51, ", Fast-learning variations on back-propagation: An empirical study. ,, S. E. Fahlman. , Morgan Kaufmann.  ,," San Mateo, CA,"," Connectionist Models Summer School: 1988 Proceedings, "," In D. S. Touretzky, G. E. Hinton, and Sejnowski, editors, ",,,,,,,
261,,, pp. 524-532. ," Lebiere (1990), The Cascade-Correlation Learning Architecture, ",," Fahlman, S. E. & C. "," Morgan Kaufmann, ",," San Mateo, "," in Advances in Neural Information Processing Systems 2, "," D.S. Touretzky, ed., ",,,,,,,
404,,, pp.380-387. , The recurrent cascade-correlation architecture.,," Fahlmann, S.E.(1990). ",,,," InAdvances in Neural Information Processing Systgems, ",,,,,,,,
451,,, pp. 349-360. ," ""Query Processing of Geometric Objects with Free Form Boundaries in Spatial Databases"". ",," Kriegel, H.P., Heep S., Fahldiek A., Mysliwitz N. ",,,," Proc. 4th Int. Conf. DEXA 1993, ",,,,,,,,
452,,, pp. 349-360. ," ""Query Processing of Geometric Objects with Free Form Boundaries in Spatial Databases"". ",," Kriegel, H.P., Heep S., Fahldiek A., Mysliwitz N. ",,,," Proc. 4th Int. Conf. DEXA 1993, ",,,,,,,,
521,,, 909-913. , 1987 Avoidance of posterior tectal membranes by temporal retinal axons. ,," Walter, J., Henke-Fahle, S. & Bonhoeffer, F. ",,,," Development 101, ",,,,,,,,
530,,,  (pp. 24-30). , Learning Representative Exemplars of Concepts: An Initial Case Study. ,," Kibler, D. & Aha, D. W. ", Morgan Kaufmann. ,," Irvine, CA: ", Proceedings of the Fourth International Workshop on Machine Learning,,,,,, (1987). ,,
531,,,  (pp.24-30. , Learning representative exemplars of concepts: An initial case study. ,," Kibler, D., & Aha, D. W. ", Morgan Kaufmann. ,," Irvine, CA: ", In Proceedings of the Fourth International Workshop on Machine Learning,,,,,, (1987). ,,
532,,, pp. 24-30. , Learning representative exemplars of concepts: An initial case study. ,," Kibler, D., & Aha, D. W. ", Morgan Kaufmann. ,," Irvine, CA: ", In Proceedings of the Fourth International Workshop on Machine Learning ,,,,,, (1987). ,,
533,,, (pp. 24-30). , Learning representative exemplars of concepts: An initial case study. ,," Kibler, D., & Aha, D. W. ", Morgan Kaufmann. ,," Irvine, CA: ", In Proceedings of the Fourth International Workshop on Machine Learning ,,,,,, (1987). ,,
534,,, pp. 24-30 , Learning representative exemplars of concepts: An initial case study. ,," Kibler, D., & Aha, D. W. ", Morgan Kaufmann. ,," Irvine, CA: ", In Proceedings of the Fourth International Workshop on Machine Learning,,,,,, (1987). ,,
